Variable Name,Submodule,Scope,File,Line
pythainlp.spell.wanchanberta_thai_grammarly.ids_to_labels,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,59
pythainlp.spell.wanchanberta_thai_grammarly.mlm_model,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,100
pythainlp.spell.wanchanberta_thai_grammarly.mlm_model,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,104
pythainlp.spell.words_spelling_correction._WSC,spell,private,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,271
pythainlp.summarize.freq._STOPWORDS,summarize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/summarize/freq.py,16
pythainlp.tag.thai_nner.__all__,tag,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/thai_nner.py,18
pythainlp.tag.thainer.__all__,tag,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/thainer.py,8
pythainlp.tag.thainer._TOKENIZER_ENGINE,tag,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/thainer.py,21
pythainlp.tokenize._utils._DIGITS_WITH_SEPARATOR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/_utils.py,11
pythainlp.tokenize.attacut._tokenizers_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/attacut.py,35
pythainlp.tokenize.budoux._parser,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/budoux.py,18
pythainlp.tokenize.budoux._parser_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/budoux.py,19
pythainlp.tokenize.core._RE_WHITESPACE,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/core.py,28
pythainlp.tokenize.core._RE_WORD_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/core.py,29
pythainlp.tokenize.crfcut._ENDERS,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/crfcut.py,27
pythainlp.tokenize.crfcut._STARTERS,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/crfcut.py,80
pythainlp.tokenize.crfcut._CRFCUT_DATA_FILENAME,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/crfcut.py,177
pythainlp.tokenize.crfcut._tagger,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/crfcut.py,178
pythainlp.tokenize.etcc._PAT_ENDING_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/etcc.py,37
pythainlp.tokenize.etcc._RE_ENDING_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/etcc.py,38
pythainlp.tokenize.han_solo._tagger,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,22
pythainlp.tokenize.han_solo._model_file_ctx,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,23
pythainlp.tokenize.han_solo._load_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,24
pythainlp.tokenize.han_solo._to_feature,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,154
pythainlp.tokenize.longest._FRONT_DEP_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,23
pythainlp.tokenize.longest._REAR_DEP_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,39
pythainlp.tokenize.longest._TRAILING_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,40
pythainlp.tokenize.longest._RE_NONTHAI,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,42
pythainlp.tokenize.longest._KNOWN,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,44
pythainlp.tokenize.longest._UNKNOWN,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,45
pythainlp.tokenize.longest._tokenizers_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,163
pythainlp.tokenize.multi_cut._RE_NONTHAI,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/multi_cut.py,51
pythainlp.tokenize.multi_cut._PAT_NONTHAI,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/multi_cut.py,57
pythainlp.tokenize.nercut._thainer,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nercut.py,19
pythainlp.tokenize.newmm._PAT_NONTHAI,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,32
pythainlp.tokenize.newmm._PAT_THAI_TWOCHARS,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,43
pythainlp.tokenize.newmm._MAX_GRAPH_SIZE,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,47
pythainlp.tokenize.newmm._TEXT_SCAN_POINT,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,50
pythainlp.tokenize.newmm._TEXT_SCAN_LEFT,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,51
pythainlp.tokenize.newmm._TEXT_SCAN_RIGHT,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,52
pythainlp.tokenize.newmm._TEXT_SCAN_BEGIN,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,53
pythainlp.tokenize.newmm._TEXT_SCAN_END,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,54
pythainlp.tokenize.nlpo3._NLPO3_DEFAULT_DICT_NAME,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nlpo3.py,17
pythainlp.tokenize.nlpo3._NLPO3_DEFAULT_DICT,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nlpo3.py,18
pythainlp.tokenize.nlpo3._dict_file_ctx,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nlpo3.py,19
pythainlp.tokenize.nlpo3._load_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nlpo3.py,20
pythainlp.tokenize.oskut._DEFAULT_ENGINE,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/oskut.py,19
pythainlp.tokenize.oskut._engine_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/oskut.py,20
pythainlp.tokenizeicu._thread_local,tokenizeicu,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/pyicu.py,21
pythainlp.tokenize.sefr_cut._DEFAULT_ENGINE,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/sefr_cut.py,18
pythainlp.tokenize.sefr_cut._engine_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/sefr_cut.py,19
pythainlp.tokenize.tcc._RE_TCC,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/tcc.py,20
pythainlp.tokenize.tcc._PAT_TCC,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/tcc.py,59
pythainlp.tokenize.tcc_p._RE_TCC,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/tcc_p.py,21
pythainlp.tokenize.tcc_p._PAT_TCC,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/tcc_p.py,59
pythainlp.tokenize.wtsplit._MODEL,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/wtsplit.py,16
pythainlp.tokenize.wtsplit._MODEL_NAME,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/wtsplit.py,17
pythainlp.tokenize.wtsplit._model_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/wtsplit.py,18
pythainlp.translate.__all__,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/__init__.py,6
pythainlp.translate.en_th._EN_TH_MODEL_NAME,translate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,32
pythainlp.translate.en_th._EN_TH_FILE_NAME,translate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,34
pythainlp.translate.en_th._TH_EN_MODEL_NAME,translate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,36
pythainlp.translate.en_th._TH_EN_FILE_NAME,translate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,38
pythainlp.translate.tokenization_small100.SPIECE_UNDERLINE,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,37
pythainlp.translate.tokenization_small100.VOCAB_FILES_NAMES,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,39
pythainlp.translate.tokenization_small100.PRETRAINED_VOCAB_FILES_MAP,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,45
pythainlp.translate.tokenization_small100.PRETRAINED_POSITIONAL_EMBEDDINGS_SIZES,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,57
pythainlp.translate.tokenization_small100.FAIRSEQ_LANGUAGE_CODES,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,62
pythainlp.translate.word2word_translate.support_list,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/word2word_translate.py,10
pythainlp.transliterate.iso_11940._all_dict,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/iso_11940.py,125
pythainlp.transliterate.iso_11940._keys_set,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/iso_11940.py,131
pythainlp.transliterate.lookup._TRANSLITERATE_IDX,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/lookup.py,22
pythainlp.transliterateicu._ICU_THAI_TO_LATIN,transliterateicu,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/pyicu.py,16
pythainlp.transliterate.royin._vowel_patterns,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/royin.py,73
pythainlp.transliterate.royin._vowel_patterns,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/royin.py,74
pythainlp.transliterate.royin._vowel_patterns,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/royin.py,75
pythainlp.transliterate.spoonerism._list_consonants,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/spoonerism.py,9
pythainlp.transliterate.thai2rom.device,transliterate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom.py,20
pythainlp.transliterate.thai2rom._MODEL_NAME,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom.py,22
pythainlp.transliterate.thai2rom._THAI_TO_ROM,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom.py,398
pythainlp.transliterate.thai2rom_onnx._MODEL_ENCODER_NAME,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom_onnx.py,19
pythainlp.transliterate.thai2rom_onnx._MODEL_DECODER_NAME,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom_onnx.py,20
pythainlp.transliterate.thai2rom_onnx._MODEL_CONFIG_NAME,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom_onnx.py,21
pythainlp.transliterate.thai2rom_onnx._THAI_TO_ROM_ONNX,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom_onnx.py,184
pythainlp.transliterate.thaig2p.device,transliterate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,23
pythainlp.transliterate.thaig2p._MODEL_NAME,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,25
pythainlp.transliterate.thaig2p._THAI_G2P,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,413
pythainlp.transliterate.thaig2p_v2._THAI_G2P,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p_v2.py,45
pythainlp.transliterate.umt5_thaig2p._THAI_G2P,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/umt5_thaig2p.py,45
pythainlp.transliterate.w2p._GRAPHEMES,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/w2p.py,19
pythainlp.transliterate.w2p._PHONEMES,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/w2p.py,22
pythainlp.transliterate.w2p._MODEL_NAME,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/w2p.py,26
pythainlp.transliterate.w2p.hp,transliterate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/w2p.py,41
pythainlp.transliterate.w2p._THAI_W2P,transliterate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/w2p.py,229
pythainlp.ulmfit.core.device,ulmfit,public,/home/runner/work/pythainlp/pythainlp/pythainlp/ulmfit/core.py,34
pythainlp.ulmfit.core._MODEL_NAME_LSTM,ulmfit,private,/home/runner/work/pythainlp/pythainlp/pythainlp/ulmfit/core.py,36
